epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,39.2414,0.4217,0.60379,0.62065,0.86412,0.99234,1,0.995,0.97619,0.99234,1,0.995,0.96786,0.30149,0.5049,0.44687,0.62218,0.0003368,0.0003368,0.0003368
86,39.6766,0.39859,0.5159,0.58262,0.86363,0.99234,1,0.995,0.97619,0.99234,1,0.995,0.96786,0.30149,0.5049,0.44687,0.62218,0.000317,0.000317,0.000317
87,40.1364,0.4083,0.55781,0.62614,0.86932,0.99248,1,0.995,0.97619,0.99248,1,0.995,0.97619,0.32814,0.49114,0.42388,0.62902,0.0002972,0.0002972,0.0002972
88,40.5885,0.43949,0.62402,0.65675,0.91887,0.99248,1,0.995,0.97619,0.99248,1,0.995,0.97619,0.32814,0.49114,0.42388,0.62902,0.0002774,0.0002774,0.0002774
89,41.0466,0.4845,0.62969,0.61484,0.8914,0.99246,1,0.995,0.94504,0.99246,1,0.995,0.97619,0.33887,0.4866,0.40637,0.63273,0.0002576,0.0002576,0.0002576
90,41.4832,0.40329,0.48671,0.56669,0.87041,0.99246,1,0.995,0.94504,0.99246,1,0.995,0.97619,0.33887,0.4866,0.40637,0.63273,0.0002378,0.0002378,0.0002378
91,42.1593,0.32719,0.48641,0.81488,0.81704,0.99244,1,0.995,0.94104,0.99244,1,0.995,0.97902,0.32305,0.48365,0.37962,0.63218,0.000218,0.000218,0.000218
92,42.6097,0.31342,0.48626,0.82625,0.84182,0.99244,1,0.995,0.94104,0.99244,1,0.995,0.97902,0.32305,0.48365,0.37962,0.63218,0.0001982,0.0001982,0.0001982
93,43.0676,0.30658,0.45607,0.78093,0.79526,0.99258,1,0.995,0.94104,0.99258,1,0.995,0.97619,0.33579,0.49218,0.36824,0.64528,0.0001784,0.0001784,0.0001784
94,43.5114,0.31584,0.46797,0.79091,0.85025,0.99258,1,0.995,0.94104,0.99258,1,0.995,0.97619,0.33579,0.49218,0.36824,0.64528,0.0001586,0.0001586,0.0001586
95,43.9594,0.339,0.48528,0.80669,0.83115,0.99253,1,0.995,0.96204,0.99253,1,0.995,0.97619,0.35429,0.51246,0.39189,0.66063,0.0001388,0.0001388,0.0001388
96,44.3943,0.30299,0.47531,0.76008,0.76894,0.99253,1,0.995,0.96204,0.99253,1,0.995,0.97619,0.35429,0.51246,0.39189,0.66063,0.000119,0.000119,0.000119
97,44.8452,0.29913,0.50266,0.79838,0.80793,0.99248,1,0.995,0.96204,0.99248,1,0.995,0.97902,0.36477,0.52992,0.4022,0.66441,9.92e-05,9.92e-05,9.92e-05
98,45.2884,0.30655,0.47549,0.78762,0.77653,0.99248,1,0.995,0.96204,0.99248,1,0.995,0.97902,0.36477,0.52992,0.4022,0.66441,7.94e-05,7.94e-05,7.94e-05
99,45.7364,0.30762,0.47699,0.78397,0.78973,0.99259,1,0.995,0.96204,0.99259,1,0.995,0.97619,0.35501,0.52547,0.38521,0.65339,5.96e-05,5.96e-05,5.96e-05
100,46.1724,0.28934,0.47619,0.74464,0.78861,0.99259,1,0.995,0.96204,0.99259,1,0.995,0.97619,0.35501,0.52547,0.38521,0.65339,3.98e-05,3.98e-05,3.98e-05
