epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,29.9624,0.29865,0.61707,0.8379,0.9883,1,0.995,0.86174,0.67675,0.4973,0.896,0.0004556,0.0004556,0.0004556
80,30.337,0.29692,0.71577,0.82454,0.98891,1,0.995,0.84506,0.68767,0.4853,0.89303,0.0004358,0.0004358,0.0004358
81,30.6936,0.36803,0.62355,0.81542,0.98891,1,0.995,0.84506,0.68767,0.4853,0.89303,0.000416,0.000416,0.000416
82,31.0635,0.29787,0.63938,0.79319,0.98932,1,0.995,0.86174,0.68439,0.49228,0.89034,0.0003962,0.0003962,0.0003962
83,31.4321,0.37269,0.62227,0.84382,0.98948,1,0.995,0.86174,0.66406,0.47875,0.88797,0.0003764,0.0003764,0.0003764
84,31.8025,0.28186,0.56869,0.82519,0.98935,1,0.995,0.86174,0.63692,0.48235,0.88405,0.0003566,0.0003566,0.0003566
85,32.1628,0.42497,0.70551,0.82149,0.98935,1,0.995,0.86174,0.63692,0.48235,0.88405,0.0003368,0.0003368,0.0003368
86,32.5336,0.40934,0.59378,0.84251,0.98927,1,0.995,0.84506,0.63203,0.48125,0.88157,0.000317,0.000317,0.000317
87,32.907,0.33607,0.59249,0.84386,0.98919,1,0.995,0.85757,0.63283,0.47734,0.87979,0.0002972,0.0002972,0.0002972
88,33.2793,0.34437,0.5511,0.81509,0.98913,1,0.995,0.88881,0.64396,0.46659,0.87671,0.0002774,0.0002774,0.0002774
89,33.6361,0.36463,0.58211,0.7927,0.98913,1,0.995,0.88881,0.64396,0.46659,0.87671,0.0002576,0.0002576,0.0002576
90,34.0053,0.30941,0.62196,0.81543,0.98893,1,0.995,0.85757,0.65833,0.46676,0.87729,0.0002378,0.0002378,0.0002378
